不良贷款控制,个人不良贷款,个人不良贷款控制计划完成率
财富管理,零售渠道理财日均,家族信托投资理财（私行）年日均余额
财富管理,零售渠道理财日均,家族信托投资理财（私行）年日均余额_上年末
财富管理,零售渠道理财日均,零售渠道理财年日均余额
财富管理,零售渠道理财日均,零售渠道理财年日均余额_上年末
财富管理,零售渠道理财日均,零售渠道理财年日均余额增量
财富管理,零售渠道理财日均,分行零售渠道理财年日均余额增量计划
财富管理,零售渠道理财日均,零售渠道理财年日均余额增量计划完成率
规模,个贷规模增长,个人贷款余额
规模,个贷规模增长,个贷余额年增量
规模,个贷规模增长,个贷余额年增量计划
规模,个贷规模增长,个贷余额年增量计划完成率
规模,个贷规模增长,同业个贷余额
规模,个贷规模增长,同业个贷余额年增量
规模,个贷规模增长,同业年累新发放个人贷款加权平均定价
规模,个贷规模增长,个人不良贷款余额（账面）
规模,个贷规模增长,当年转让贷款余额（正常类）
规模,个贷规模增长,普惠型个人贷款
规模,个贷规模增长,普惠型个人不良贷款
规模,个贷规模增长,普惠型个人不良贷款率
规模,个贷规模增长,全行普惠型个人不良贷款率容忍度
规模,个贷规模增长,考核口径个人不良贷款余额
规模,个贷规模增长,考核口径个人不良贷款控制计划
规模,个贷规模增长,考核口径个人不良贷款控制计划完成率
规模,个贷规模增长,当年转让贷款中的不良余额
规模,个贷规模增长,个人不良贷款率
规模,个贷规模增长,考核口径个人不良贷款率
规模,个贷规模增长,个人不良贷款控制系数
规模,个贷规模增长,个人问题贷款余额（账面）
规模,个贷规模增长,当年转让贷款中的问题余额
规模,个贷规模增长,考核口径个人问题贷款余额
规模,个贷规模增长,考核口径个人问题贷款率
规模,个贷规模增长,个人问题贷款率
规模,个贷规模增长,年初个人问题贷款率
规模,个贷规模增长,考核口径个人问题贷款率变动幅度
规模,个贷规模增长,个人问题贷款率系数
规模,个贷规模增长,资产质量系数
规模,个贷规模增长,同业个贷余额排名
规模,个贷规模增长,同业个贷余额年增量排名
规模,个贷规模增长,同业年累新发放个人贷款加权平均定价排名
规模,个人存款增长,客户存款余额
规模,个人存款增长,客户存款余额_上年末
规模,个人存款增长,全口径个人存款
规模,个人存款增长,全口径个人存款_上年末
规模,个人存款增长,外币FTP亏损存款
规模,个人存款增长,外币FTP亏损存款_上年末
规模,个人存款增长,考核口径全口径个人存款
规模,个人存款增长,考核口径全口径个人存款_上年末
规模,个人存款增长,客户存款年日均
规模,个人存款增长,客户存款年日均_上年末
规模,个人存款增长,外币FTP亏损存款年日均
规模,个人存款增长,外币FTP亏损存款年日均_上年末
规模,个人存款增长,全口径个人存款年日均
